,ids,names,current_prices
141,67edfe2bd021bd5ffb8c4122,Điện thoại Mobell F309 4G,760000.0
142,67edfe2bd021bd5ffb8c4123,Điện thoại OPPO Reno12 5G 12GB/256GB,11490000.0
143,67edfe2bd021bd5ffb8c4124,Điện thoại OPPO Reno12 5G 12GB/512GB,12490000.0
144,67edfe2bd021bd5ffb8c4125,Điện thoại Samsung Galaxy S25 Plus 5G 12GB/256GB,23990000.0
145,67edfe2bd021bd5ffb8c4126,Điện thoại Samsung Galaxy S25 Plus 5G 12GB/512GB,27490000.0
146,67edfe2bd021bd5ffb8c4127,Điện thoại HONOR X7c 8GB/256GB,4990000.0
147,67edfe2bd021bd5ffb8c4128,Điện thoại Samsung Galaxy A16 4GB/128GB,4390000.0
148,67edfe2bd021bd5ffb8c4129,Điện thoại Samsung Galaxy A16 8GB/256GB,5890000.0
149,67edfe2bd021bd5ffb8c412a,Điện thoại Samsung Galaxy A16 8GB/128GB,5390000.0
150,67edfe2bd021bd5ffb8c412b,Điện thoại Samsung Galaxy M15 5G 4GB/128GB,3690000.0
151,67edfe2bd021bd5ffb8c412c,Điện thoại Samsung Galaxy M15 5G 6GB/128GB,4490000.0
152,67edfe2cd021bd5ffb8c412d,Điện thoại Mobell M539,700000.0
153,67edfe2cd021bd5ffb8c412e,Điện thoại Mobell M331 4G,550000.0
154,67edfe2cd021bd5ffb8c412f,Điện thoại Mobell F209,620000.0
155,67edfe2cd021bd5ffb8c4130,Điện thoại Masstel Fami 60S 4G,700000.0
156,67edfe2cd021bd5ffb8c4131,Điện thoại vivo Y18 4GB/128GB,3690000.0
157,67edfe2cd021bd5ffb8c4132,Điện thoại vivo Y18 8GB/128GB,4190000.0
158,67edfe2cd021bd5ffb8c4133,Điện thoại OPPO Reno12 5G 12GB/256GB Hồng,11490000.0
159,67edfe2cd021bd5ffb8c4134,Điện thoại Nokia 3210 4G,1590000.0
