,ids,names,current_prices
88,67edfe6ed021bd5ffb8c41a1,Laptop Dell Inspiron 15 3530 i5 1334U/16GB/512GB/120Hz/OfficeHS/Win11 (N3530-i5U165W11SLU),18490000
89,67edfe6ed021bd5ffb8c41a2,Laptop Asus Vivobook 14 X1404VA i5 1335U/16GB/512GB/Win11 (NK050W),16190000
90,67edfe6ed021bd5ffb8c41a3,Laptop Acer Gaming Aspire 7 A715 76G 5806 i5 12450H/16GB/512GB/4GB RTX3050/144Hz/Win11 (NH.QMFSV.002),18990000
91,67edfe6ed021bd5ffb8c41a4,Laptop HP Pavilion 15 eg2081TU i5 1240P/16GB/512GB/Win11 (7C0Q4PA),16890000
92,67edfe6ed021bd5ffb8c41a5,"Laptop Asus TUF Gaming F15 FX507VV i7 13620H/16GB/512GB/8GB RTX4060/15.6""F/144Hz/Win11 (LP151W)",28890000
93,67edfe6ed021bd5ffb8c41a6,Laptop HP 240 G9 i5 1235U/16GB/512GB/Win11 (9T2G2PT),15890000
94,67edfe6ed021bd5ffb8c41a7,Laptop Acer Gaming Nitro AN515 58 773Y i7 12700H/16GB/512GB/4GB RTX3050Ti/144Hz/Win11 (NH.QFKSV.001.16G),23490000
95,67edfe6ed021bd5ffb8c41a8,Laptop Lenovo ThinkBook 14 G6 i7 1355U/16GB/512GB/Win11 (21KG00BQVN),21190000
96,67edfe6ed021bd5ffb8c41a9,Laptop MSI Gaming GF63 Thin 12VE i5 12450H/8GB/512GB/6GB RTX4050/144Hz/Win11 (460VN),18690000
97,67edfe6ed021bd5ffb8c41aa,Laptop Asus Zenbook 14 UX3405CA Ultra 5 225H/16GB/512GB/120Hz/Touch/OfficeHS24+365/Win11 (PZ187WS),31990000
98,67edfe6ed021bd5ffb8c41ab,Laptop Dell Vostro 3520 i5 1235U/16GB/512GB/120Hz/OfficeHS/Win11 (71030559),16490000
99,67edfe6ed021bd5ffb8c41ac,Laptop Acer Swift Go 14 41 R251 R5 7430U/16GB/1TB/Win11 (NX.KG3SV.005),17990000
100,67edfe6ed021bd5ffb8c41ad,Laptop Asus TUF Gaming A15 FA507NVR R7 7435HS/16GB/512GB/8GB RTX4060/144Hz/Win11 (LP007W),26890000
101,67edfe6fd021bd5ffb8c41ae,Laptop Dell Inspiron 15 3520 i7 1255U/16GB/512GB/120Hz/OfficeHS/Win11 (N3520-i7U165W11BLU-FP),19990000
102,67edfe6fd021bd5ffb8c41af,Laptop Asus Vivobook 15 OLED A1505VA i9 13900H/16GB/512GB/120Hz/OfficeHS/Win11 (MA586WS),22990000
103,67edfe6fd021bd5ffb8c41b0,Laptop HP 240 G9 i3 1215U/8GB/512GB/Win11 (6L1X8PA),10990000
104,67edfe6fd021bd5ffb8c41b1,Laptop MacBook Air 13 inch M2 16GB/512GB/10GPU,28690000
105,67edfe6fd021bd5ffb8c41b2,Laptop Asus TUF Gaming F15 FX507ZC4 i7 12700H/16GB/512GB/4GB RTX3050/144Hz/Win11 (HNi7MW),23490000
106,67edfe6fd021bd5ffb8c41b3,Laptop HP 240 G9 i5 1235U/8GB/512GB/Win11 (6L1Y2PA),13290000
107,67edfe6fd021bd5ffb8c41b4,Laptop MSI Gaming Thin 15 B13UCX i5 13420H/16GB/512GB/4GB RTX2050/144Hz/Balo/Win11 (2080VN),17690000
